,DATE,AWND,PRCP,TAVG,TMAX,TMIN
3950,2017-04-23,3.7,0.0,12.6,18.3,8.9
3951,2017-04-24,3.1,0.0,11.9,15.0,8.9
3952,2017-04-25,9.6,16.3,11.6,13.9,10.0
3953,2017-04-26,4.2,7.1,12.9,16.7,11.7
3954,2017-04-27,3.1,0.3,16.7,20.6,13.3
3955,2017-04-28,3.3,0.0,19.2,29.4,12.8
3956,2017-04-29,5.1,1.5,24.9,31.1,18.3
3957,2017-04-30,5.0,0.0,18.2,20.6,11.7
3958,2017-05-01,5.1,0.0,13.3,22.8,10.0
3959,2017-05-02,6.9,0.0,21.4,25.6,16.7
3960,2017-05-03,6.9,0.0,17.9,19.4,12.8
3961,2017-05-04,4.4,0.0,14.3,18.9,10.6
3962,2017-05-05,5.7,57.7,13.3,17.8,11.7
3963,2017-05-06,7.2,1.5,16.9,19.4,13.3
3964,2017-05-07,6.4,0.0,13.4,14.4,10.0
3965,2017-05-08,6.1,0.0,11.9,16.7,8.9
3966,2017-05-09,4.5,0.0,13.1,17.8,9.4
3967,2017-05-10,3.0,0.0,13.8,18.3,11.1
3968,2017-05-11,3.5,0.0,13.9,17.8,11.1
3969,2017-05-12,3.9,0.0,13.6,17.8,11.1
3970,2017-05-13,6.8,44.2,11.8,12.8,8.3
3971,2017-05-14,6.7,0.3,13.0,21.1,8.3
3972,2017-05-15,9.1,0.0,16.5,21.1,12.2
3973,2017-05-16,3.8,0.0,20.4,28.3,15.0
3974,2017-05-17,4.4,0.0,26.2,34.4,18.9
3975,2017-05-18,5.3,0.0,31.2,36.1,26.7
3976,2017-05-19,5.9,0.0,31.1,35.6,20.0
3977,2017-05-20,5.1,0.3,19.6,20.0,14.4
3978,2017-05-21,4.2,0.0,16.9,21.7,13.9
3979,2017-05-22,3.4,16.3,15.4,17.2,13.9
3980,2017-05-23,2.5,0.0,17.4,21.1,15.0
3981,2017-05-24,4.3,0.8,17.1,20.6,13.9
3982,2017-05-25,6.8,22.1,14.7,15.0,13.3
3983,2017-05-26,5.3,3.0,17.5,24.4,13.9
3984,2017-05-27,3.4,0.0,19.7,22.2,16.7
3985,2017-05-28,3.9,0.0,18.1,21.7,14.4
3986,2017-05-29,4.6,4.1,15.1,16.7,13.3
3987,2017-05-30,3.8,0.8,14.6,17.8,12.8
3988,2017-05-31,3.6,1.3,17.3,25.6,14.4
3989,2017-06-01,3.9,0.0,20.8,27.8,15.6
3990,2017-06-02,4.3,0.0,21.4,26.1,15.6
3991,2017-06-03,4.7,0.0,18.9,23.3,15.0
3992,2017-06-04,2.9,1.0,18.9,21.7,15.0
3993,2017-06-05,4.7,0.5,16.6,19.4,14.4
3994,2017-06-06,5.9,0.8,14.4,15.0,11.1
3995,2017-06-07,3.1,0.0,14.8,21.1,11.1
3996,2017-06-08,3.0,0.0,17.7,21.7,13.9
3997,2017-06-09,4.0,0.0,19.3,28.3,13.3
3998,2017-06-10,4.2,0.0,25.6,31.1,19.4
3999,2017-06-11,4.8,0.0,28.7,34.4,23.9
4000,2017-06-12,4.3,0.0,30.4,35.6,24.4
4001,2017-06-13,3.9,0.0,32.1,38.3,26.7
4002,2017-06-14,3.8,12.7,26.0,28.3,21.1
4003,2017-06-15,4.4,0.0,21.5,24.4,17.8
4004,2017-06-16,4.9,0.0,18.7,21.1,17.2
4005,2017-06-17,3.2,32.0,19.4,23.3,17.8
4006,2017-06-18,4.7,0.0,24.1,28.9,21.1
4007,2017-06-19,5.5,31.0,25.8,30.6,21.1
4008,2017-06-20,5.5,0.3,24.9,30.0,21.1
4009,2017-06-21,4.4,0.0,26.8,30.6,23.9
4010,2017-06-22,3.9,0.0,25.1,28.9,20.0
4011,2017-06-23,5.0,0.5,27.3,30.6,25.0
4012,2017-06-24,5.5,28.4,26.4,30.0,21.1
4013,2017-06-25,3.5,0.0,25.7,28.9,21.1
4014,2017-06-26,4.4,0.0,23.3,27.2,19.4
4015,2017-06-27,4.2,4.1,21.8,26.1,16.7
4016,2017-06-28,5.1,0.0,21.9,27.2,17.8
4017,2017-06-29,6.1,0.0,24.6,28.3,20.6
4018,2017-06-30,5.8,0.0,26.8,31.7,23.9
4019,2017-07-01,4.4,1.8,26.1,29.4,23.3
4020,2017-07-02,3.9,0.0,26.6,32.8,22.8
4021,2017-07-03,3.5,3.0,28.5,32.2,22.8
4022,2017-07-04,2.2,0.0,25.4,30.6,21.1
4023,2017-07-05,4.3,0.0,24.8,29.4,21.1
4024,2017-07-06,3.6,0.0,23.6,27.2,20.6
4025,2017-07-07,4.0,54.4,22.4,27.8,20.0
4026,2017-07-08,4.3,0.0,25.8,30.6,21.7
4027,2017-07-09,4.2,0.0,24.6,29.4,21.1
4028,2017-07-10,4.4,0.0,25.9,31.1,22.2
4029,2017-07-11,3.9,0.0,26.9,31.7,23.9
4030,2017-07-12,5.1,0.0,29.0,32.8,25.6
4031,2017-07-13,4.7,0.0,30.0,34.4,22.8
4032,2017-07-14,4.2,11.9,21.0,22.8,18.3
4033,2017-07-15,3.5,0.3,23.2,30.0,19.4
4034,2017-07-16,3.3,0.0,25.6,30.0,21.7
4035,2017-07-17,3.8,0.0,26.7,30.6,23.9
4036,2017-07-18,4.1,0.0,26.9,31.1,24.4
4037,2017-07-19,3.3,0.0,29.3,34.4,25.6
4038,2017-07-20,3.2,0.0,30.7,36.7,25.0
4039,2017-07-21,4.6,0.0,29.1,34.4,25.0
4040,2017-07-22,3.5,13.2,29.6,32.8,22.8
4041,2017-07-23,3.2,2.3,24.7,26.7,22.2
4042,2017-07-24,5.7,22.9,21.2,22.8,17.8
4043,2017-07-25,4.5,0.0,18.8,21.7,16.7
4044,2017-07-26,3.8,0.0,21.4,25.6,18.3
4045,2017-07-27,3.7,0.0,22.3,25.6,19.4
4046,2017-07-28,3.3,0.0,24.9,28.9,21.7
4047,2017-07-29,7.0,0.0,22.9,24.4,20.0
4048,2017-07-30,3.3,0.0,22.7,27.8,18.9
4049,2017-07-31,2.6,0.0,25.4,31.7,21.1
4050,2017-08-01,2.8,0.0,27.4,32.8,22.2
4051,2017-08-02,2.6,2.0,26.4,31.1,20.6
4052,2017-08-03,3.7,0.3,24.6,30.6,21.1
4053,2017-08-04,5.5,19.1,25.6,29.4,21.7
4054,2017-08-05,5.1,4.1,24.6,26.7,21.1
4055,2017-08-06,4.9,0.0,22.2,25.6,18.9
4056,2017-08-07,3.1,10.9,21.2,22.8,18.9
4057,2017-08-08,3.3,0.0,21.3,26.7,18.3
4058,2017-08-09,2.9,0.0,24.7,29.4,20.0
4059,2017-08-10,3.1,0.0,25.3,30.0,21.7
4060,2017-08-11,4.3,0.3,24.4,27.8,22.2
4061,2017-08-12,3.0,4.1,22.1,25.6,18.3
4062,2017-08-13,3.6,0.0,24.9,29.4,22.2
4063,2017-08-14,3.3,0.0,24.8,28.3,21.7
4064,2017-08-15,2.3,11.2,22.9,24.4,20.6
4065,2017-08-16,2.7,0.0,24.9,30.0,21.7
4066,2017-08-17,4.0,0.0,24.7,27.8,21.1
4067,2017-08-18,4.1,23.1,25.2,28.3,22.8
4068,2017-08-19,4.1,0.0,26.7,31.7,23.9
4069,2017-08-20,5.0,0.0,25.9,28.3,21.7
4070,2017-08-21,3.7,0.0,27.1,31.1,23.9
4071,2017-08-22,5.1,5.8,27.5,32.8,23.3
4072,2017-08-23,4.9,0.5,25.7,27.8,23.3
4073,2017-08-24,3.5,0.0,24.0,27.2,20.6
4074,2017-08-25,2.9,0.0,22.4,25.6,18.9
4075,2017-08-26,3.0,0.0,21.7,25.0,17.8
4076,2017-08-27,3.8,0.0,21.2,25.0,17.8
4077,2017-08-28,5.0,0.0,21.0,23.9,17.8
4078,2017-08-29,6.5,7.9,19.2,20.6,16.1
4079,2017-08-30,5.1,0.3,19.7,26.7,16.1
4080,2017-08-31,5.5,0.0,23.3,27.8,18.9
4081,2017-09-01,5.1,0.0,18.6,22.2,13.3
4082,2017-09-02,4.3,15.0,17.3,20.0,13.3
4083,2017-09-03,5.3,15.2,17.0,22.2,15.0
4084,2017-09-04,5.4,0.0,21.8,27.8,17.8
4085,2017-09-05,3.9,0.0,24.7,29.4,21.7
